Id,Label,group,nodesize
0,.net,2,75.08
1,agile,12,12.22
2,ajax,6,35.41
3,amazon-web-services,9,30.05
4,android,4,229.86
5,android-studio,4,14.79
6,angular,7,29.09
7,angular2,7,18.79
8,angularjs,6,126.59
9,apache,5,13.17
10,apache-spark,10,11.04
11,api,8,8.61
12,asp.net,2,129.55
13,asp.net-web-api,2,11.28
14,azure,2,13.68
15,bash,5,23.91
16,bootstrap,6,13.28
17,c,1,189.83
18,c#,2,321.13
19,c++,1,268.11
20,cloud,9,10.66
21,codeigniter,6,18.71
22,css,6,341.17
23,devops,9,9.81
24,django,1,40.91
25,docker,9,22.85
26,drupal,6,8.25
27,eclipse,8,11.39
28,elasticsearch,3,10.82
29,embedded,1,13.27
30,entity-framework,2,12.88
31,excel,14,12.5
32,excel-vba,14,11.38
33,express,3,14.27
34,flask,1,9.39
35,git,5,54.48
36,github,5,12.71
37,go,9,24.84
38,hadoop,10,17.95
39,haskell,10,11.18
40,hibernate,8,29.83
41,html,6,272.45
42,html5,6,140.18
43,ionic-framework,6,8.44
44,ios,4,87.46
45,iphone,4,15.29
46,java,8,610.65
47,java-ee,8,22.45
48,javascript,6,649.16
49,jenkins,9,10.02
50,jquery,6,208.29
51,json,6,25.38
52,jsp,8,13.78
53,laravel,6,32.12
54,less,6,9.73
55,linq,2,8.32
56,linux,5,108.54
57,machine-learning,1,44.21
58,matlab,1,27.21
59,maven,8,10.3
60,mongodb,3,50.95
61,mvc,2,10.92
62,mysql,6,165.43
63,nginx,5,9.49
64,node.js,3,117.36
65,objective-c,4,47.01
66,oracle,2,30.19
67,osx,4,12.58
68,perl,13,19.38
69,photoshop,6,12.62
70,php,6,361.22
71,plsql,2,10.32
72,postgresql,3,39.03
73,powershell,5,9.85
74,python,1,438.67
75,qt,1,10.53
76,r,1,52.7
77,react-native,3,13.61
78,reactjs,3,59.03
79,redis,3,13.85
80,redux,3,8.52
81,regex,13,9.46
82,rest,8,27.08
83,ruby,3,70.14
84,ruby-on-rails,3,55.31
85,sass,6,30.55
86,scala,10,27.02
87,selenium,11,12.7
88,shell,5,11.63
89,spring,8,52.84
90,spring-boot,8,12.37
91,spring-mvc,8,18.0
92,sql,2,154.23
93,sql-server,2,64.62
94,swift,4,63.62
95,tdd,12,9.45
96,testing,11,8.95
97,twitter-bootstrap,6,31.05
98,twitter-bootstrap-3,6,10.13
99,typescript,7,17.53
100,ubuntu,5,11.98
101,unity3d,2,19.36
102,unix,5,15.67
103,vb.net,2,23.56
104,vba,14,16.87
105,visual-studio,2,18.13
106,vue.js,6,8.38
107,wcf,2,12.73
108,web-services,8,18.94
109,windows,5,19.71
110,wordpress,6,46.74
111,wpf,2,19.38
112,xamarin,2,11.18
113,xcode,4,11.37
114,xml,6,23.77
